city,season,metric,pre_status,pre_action,pre_stored_bias_c,pre_recomputed_bias_c,pre_delta_bias_c,pre_stored_sd_c,pre_recomputed_sd_c,pre_n_live,pre_n_prior,pre_n_paired,pre_reason,post_status,post_authority,post_stored_bias_c,post_stored_sd_c,post_n_live,post_n_prior,post_n_paired,post_stored_paired_delta_c,post_recomputed_bias_c,post_recomputed_sd_c,post_coverage_months_observed,post_delta_bias_c,post_fit_signature_hash,delta_bias_pre_to_post_stored,pre_sign_flip_vs_recompute,transition_class,notes
London,MAM,low,NON_REPRODUCIBLE,E_LOW_SCALE_REGEN,-0.38841607336902206,-0.38841607336902206,0.0,0.5,1.4089801398336623,3,10,0,sd_diff delta_sd=+0.9090,REPRODUCIBLE,STAGING,-0.38841607336902206,0.5,2,10,,,-0.38841607336902206,0.5,"4,5",0.0,e69087df2aca113b,0.0,no,FIXED_NONREPR_TO_REPR,
London,SON,high,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,-0.6874737375050658,-0.6874737375050658,0.0,0.8451217363586283,0.8451217363586283,0,91,0,within_tolerance,REPRODUCIBLE,STAGING,-0.6874737375050658,0.8451217363586283,0,91,,,-0.6874737375050658,0.8451217363586283,"9,10,11",0.0,88b24bf67578c37e,0.0,no,STABLE_REPR,
Los Angeles,DJF,high,COVERAGE_MISLABELED,D_MONTH_SCOPE,-2.3932786530139154,-2.3932786530139154,0.0,0.5,0.5,0,2,0,"coverage_months=(12,) expected=(1, 2, 12)",INSUFFICIENT_PRIOR,STAGING,0.0,3.0,0,2,,,,,12,,45f9311f5202f968,2.3933,no,COV_MISLABELED_TO_INSUFFICIENT_PRIOR,
Los Angeles,MAM,high,NON_REPRODUCIBLE,B_REFIT_AND_REGEN_COHORT,-2.0484069567768275,-1.0626891833393277,0.9857177734374998,0.8421757788620144,0.8079843803000404,16,43,1,pregate_ungated_paired_delta delta_bias=+0.9857 paired_delta_mean=-0.9857,REPRODUCIBLE,STAGING,-1.0626891833393277,0.8421757788620144,14,43,,,-1.0626891833393277,0.8421757788620144,"3,4,5",0.0,c6bd37d64b15cdf4,0.9857,no,FIXED_NONREPR_TO_REPR,
Lucknow,MAM,high,NON_REPRODUCIBLE,B_REFIT_AND_REGEN_COHORT,-1.7549553725298495,-0.184458869485269,1.5704965030445805,1.4984347529032311,1.448329302908689,15,62,1,pregate_ungated_paired_delta delta_bias=+1.5705 paired_delta_mean=-1.5705,REPRODUCIBLE,STAGING,-0.184458869485269,1.4984347529032311,14,62,,,-0.184458869485269,1.4984347529032311,"3,4,5",0.0,966648828cec67f8,1.5705,no,FIXED_NONREPR_TO_REPR,large-pre-delta=+1.570C
Madrid,MAM,high,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,0.45186846863992136,0.45186846863992136,0.0,1.4738369090736576,1.3979206893260663,15,48,0,within_tolerance,REPRODUCIBLE,STAGING,0.45186846863992136,1.4738369090736576,14,48,,,0.45186846863992136,1.4738369090736576,"3,4,5",0.0,a8fa9ef461fed794,0.0,no,STABLE_REPR,
Manila,MAM,high,NON_REPRODUCIBLE,B_REFIT_AND_REGEN_COHORT,-1.630898602213013,-2.717962410280184,-1.087063808067171,0.801899246168032,0.7865981678529576,15,23,2,pregate_ungated_paired_delta delta_bias=-1.0871 paired_delta_mean=+1.0871,REPRODUCIBLE,STAGING,-2.717962410280184,0.801899246168032,13,23,,,-2.717962410280184,0.801899246168032,"4,5",0.0,bda02741106241a0,-1.0871,no,FIXED_NONREPR_TO_REPR,large-pre-delta=-1.087C
Mexico City,MAM,high,NON_REPRODUCIBLE,B_REFIT_AND_REGEN_COHORT,-0.5068258460453003,0.030901061123819136,0.5377269071691195,1.8022702558691546,1.6892079029208382,15,37,1,pregate_ungated_paired_delta delta_bias=+0.5377 paired_delta_mean=-0.5377,REPRODUCIBLE,STAGING,0.030901061123819136,1.8022702558691546,13,37,,,0.030901061123819136,1.8022702558691546,"3,4,5",0.0,c8e3ae0a08899512,0.5377,yes,FIXED_NONREPR_TO_REPR,pre-sd3-sign-flip-detected
Miami,DJF,high,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,-0.028074324988050126,-0.028074324988050126,0.0,1.4659626265277181,1.4659626265277181,0,40,0,within_tolerance,REPRODUCIBLE,STAGING,-0.028074324988050126,1.4659626265277181,0,40,,,-0.028074324988050126,1.4659626265277181,"1,2,12",0.0,620908dff165f3c0,0.0,no,STABLE_REPR,
Miami,MAM,high,NON_REPRODUCIBLE,B_REFIT_AND_REGEN_COHORT,-0.7272792953997173,0.24330998727527842,0.9705892826749957,0.991036219440005,0.9753868404668596,12,66,2,pregate_ungated_paired_delta delta_bias=+0.9706 paired_delta_mean=-0.9904,REPRODUCIBLE,STAGING,0.26307445718530176,0.991036219440005,11,65,,,0.26307445718530176,0.991036219440005,"3,4,5",0.0,3ecb87cce5864835,0.9904,yes,FIXED_NONREPR_TO_REPR,pre-sd3-sign-flip-detected
Miami,MAM,low,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,-1.9047758347587933,-1.9047758347587933,0.0,2.9388472533979444,2.9388472533979444,0,9,0,within_tolerance,REPRODUCIBLE,STAGING,-1.9047758347587933,2.9388472533979444,0,9,,,-1.9047758347587933,2.9388472533979444,"4,5",0.0,648401386ea43bc8,0.0,no,STABLE_REPR,
Milan,MAM,high,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,-0.3955825356875911,-0.3955825356875911,0.0,1.068605694797202,1.060739934435038,15,48,0,within_tolerance,REPRODUCIBLE,STAGING,-0.3955825356875911,1.068605694797202,15,48,,,-0.3955825356875911,1.068605694797202,"3,4,5",0.0,e0212567d3d9993c,0.0,no,STABLE_REPR,
Moscow,MAM,high,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,0.48637886795345414,0.48637886795345414,0.0,1.3008924302734959,1.3008924302734959,11,35,0,within_tolerance,REPRODUCIBLE,STAGING,0.48637886795345414,1.3008924302734959,11,35,,,0.48637886795345414,1.3008924302734959,"3,4,5",0.0,74e58305eea8ff93,0.0,no,STABLE_REPR,
Munich,MAM,high,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,-0.9422547097299382,-0.9422547097299382,0.0,0.8969758707536805,0.9623981986286829,16,60,0,within_tolerance,REPRODUCIBLE,STAGING,-0.9422547097299382,0.8969758707536805,15,60,,,-0.9422547097299382,0.8969758707536805,"3,4,5",0.0,a196e4668375a694,0.0,no,STABLE_REPR,
NYC,DJF,high,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,-1.9994578562647878,-1.9994578562647878,0.0,1.652190199782501,1.652190199782501,0,115,0,within_tolerance,REPRODUCIBLE,STAGING,-1.9994578562647878,1.652190199782501,0,115,,,-1.9994578562647878,1.652190199782501,"1,2,12",0.0,1fbf62322033921d,0.0,no,STABLE_REPR,
NYC,JJA,high,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,0.5243337809460659,0.5243337809460659,0.0,1.6199606443988315,1.6199606443988315,0,92,0,within_tolerance,REPRODUCIBLE,STAGING,0.5243337809460659,1.6199606443988315,0,92,,,0.5243337809460659,1.6199606443988315,"6,7,8",0.0,b231250da00436ce,0.0,no,STABLE_REPR,
NYC,MAM,high,NON_REPRODUCIBLE,B_REFIT_AND_REGEN_COHORT,-3.4667559949250073,-0.2126756152145346,3.254080379710473,1.521973654912878,1.50616960775632,16,154,1,pregate_ungated_paired_delta delta_bias=+3.2541 paired_delta_mean=-3.2541,REPRODUCIBLE,STAGING,-0.2126756152145346,1.521973654912878,14,154,,,-0.2126756152145346,1.521973654912878,"3,4,5",0.0,021f8a33b4081190,3.2541,no,FIXED_NONREPR_TO_REPR,large-pre-delta=+3.254C
NYC,MAM,low,NON_REPRODUCIBLE,E_LOW_SCALE_REGEN,-2.974710980583617,-2.974710980583617,0.0,2.9385998867988548,1.853573372321682,3,5,0,sd_diff delta_sd=-1.0850,REPRODUCIBLE,STAGING,-2.974710980583617,2.9385998867988548,1,5,,,-2.974710980583617,2.9385998867988548,"4,5",0.0,642e6ce90b3fb437,0.0,no,FIXED_NONREPR_TO_REPR,
NYC,SON,high,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,-0.5917093688366234,-0.5917093688366234,0.0,1.4441231467808822,1.4441231467808822,0,90,0,within_tolerance,REPRODUCIBLE,STAGING,-0.5917093688366234,1.4441231467808822,0,90,,,-0.5917093688366234,1.4441231467808822,"9,10,11",0.0,0493f56bd26660cc,0.0,no,STABLE_REPR,
Panama City,MAM,high,NON_REPRODUCIBLE,B_REFIT_AND_REGEN_COHORT,-0.8794235763763254,-2.2327073276209646,-1.3532837512446392,1.3207835376872152,1.3043665066110144,15,34,1,pregate_ungated_paired_delta delta_bias=-1.3533 paired_delta_mean=+1.3533,REPRODUCIBLE,STAGING,-2.2327073276209646,1.3207835376872152,14,34,,,-2.2327073276209646,1.3207835376872152,"4,5",0.0,ad5ded59630568d6,-1.3533,no,FIXED_NONREPR_TO_REPR,large-pre-delta=-1.353C
Paris,DJF,high,COVERAGE_MISLABELED,D_MONTH_SCOPE,-1.2717946646619658,-1.2717946646619658,0.0,0.6567931164049089,0.6567931164049089,0,15,0,"coverage_months=(2,) expected=(1, 2, 12)",COVERAGE_MISLABELED,STAGING,-1.2717946646619658,0.6567931164049089,0,15,,,-1.2717946646619658,0.6567931164049089,2,0.0,2a90af712e8eefea,0.0,no,STILL_COVERAGE_MISLABELED,
