city,season,metric,status,stored_bias_c,recomputed_bias_c,delta_bias_c,stored_sd_c,recomputed_sd_c,delta_sd_c,recomputed_n_live,recomputed_n_prior,recomputed_n_paired,reason,action,how
Qingdao,MAM,high,INSUFFICIENT_PRIOR,3.305717797372882,,,1.722299554211915,,,15,1,1,n_prior=1<2,C_NO_LEARNED_CORRECTION,write identity/no-correction OR explicit fallback prior; never confident city row
San Francisco,MAM,high,NON_REPRODUCIBLE,-3.242618835050274,-3.381544724009373,-0.13892588895909874,1.663770721548105,1.7107504733169285,0.04697975176882352,14,43,1,pregate_ungated_paired_delta delta_bias=-0.1389 paired_delta_mean=+0.1389,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Sao Paulo,DJF,high,COVERAGE_MISLABELED,-0.7958821390189135,-0.7958821390189135,0.0,0.9831217086209132,0.9831217086209132,0.0,0,8,0,"coverage_months=(2,) expected=(1, 2, 12)",D_MONTH_SCOPE,convert to month-scoped row or block when target month not in coverage_months
Sao Paulo,MAM,high,NON_REPRODUCIBLE,0.7089221785357904,-0.5168336999874934,-1.2257558785232838,1.6080488309688001,1.7953414893734883,0.18729265840468812,14,66,1,pregate_ungated_paired_delta delta_bias=-1.2258 paired_delta_mean=+1.2258,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Seattle,DJF,high,REPRODUCIBLE,0.09411827407507814,0.09411827407507814,0.0,0.8853255755304527,0.8853255755304527,0.0,0,76,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Seattle,MAM,high,NON_REPRODUCIBLE,-3.4410779434826697,-0.07090540547332735,3.370172538009342,2.2445676176300693,2.095082551763633,-0.14948506586643617,16,65,1,pregate_ungated_paired_delta delta_bias=+3.3702 paired_delta_mean=-3.3702,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Seoul,DJF,high,REPRODUCIBLE,-0.7382353340098834,-0.7382353340098834,0.0,1.447538080546503,1.447538080546503,0.0,0,74,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Seoul,MAM,high,NON_REPRODUCIBLE,-3.0338489396725983,-1.657522472195959,1.3763264674766393,2.2707116105233958,2.2067373953259195,-0.06397421519747626,14,66,2,pregate_ungated_paired_delta delta_bias=+1.3763 paired_delta_mean=-1.3763,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Seoul,MAM,low,NON_REPRODUCIBLE,1.3837603201274227,1.3837603201274227,0.0,3.0087398058001176,1.2224503336562118,-1.7862894721439058,2,9,0,sd_diff delta_sd=-1.7863,E_LOW_SCALE_REGEN,"bias_c OK; residual_sd changed → regen p_raw for LOW cohort (scale only, no bias refit)"
Shanghai,MAM,high,NON_REPRODUCIBLE,1.2535432920949185,-3.1537577691987435,-4.407301061293662,1.415831955439885,1.4439937760735535,0.028161820633668455,15,54,1,pregate_ungated_paired_delta delta_bias=-4.4073 paired_delta_mean=+4.4073,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Shanghai,MAM,low,REPRODUCIBLE,3.775944758396546,3.775944758396546,0.0,1.8080609051065037,1.8080609051065037,0.0,0,4,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Shenzhen,MAM,high,NON_REPRODUCIBLE,-0.33885770618403543,-0.14564777755926592,0.19320992862476952,1.4523989008873148,1.2537664949109988,-0.19863240597631604,12,47,2,pregate_ungated_paired_delta delta_bias=+0.1932 paired_delta_mean=-0.1932,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Singapore,MAM,high,NON_REPRODUCIBLE,-1.5105012604684303,-1.2225272207548874,0.28797403971354285,0.8721754223906972,1.0360837850710793,0.1639083626803821,15,54,1,pregate_ungated_paired_delta delta_bias=+0.2880 paired_delta_mean=-0.2880,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
