city,season,month,metric,family,live_data_version,prior_data_version,training_cutoff,stored_bias_c,stored_sd_c,stored_n_live,stored_n_prior,stored_n_paired,stored_paired_delta_c,stored_code_commit,stored_fit_signature_hash,stored_authority,status,reason,recomputed_bias_c,recomputed_sd_c,recomputed_n_live,recomputed_n_prior,recomputed_n_paired,recomputed_paired_delta_c,coverage_months_observed,delta_bias_c,delta_sd_c
London,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.2746925209156782,1.162470656614924,15,156,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,0495812dba5cbc55,VERIFIED,REPRODUCIBLE,within_tolerance,-0.2746925209156782,1.1786981933958267,16,156,0,,"3,4,5",0.0,0.016227536780902607
London,MAM,0,low,full_transport_v1,ecmwf_opendata_mn2t3_local_calendar_day_min_v1,tigge_mn2t6_local_calendar_day_min_v1,2026-05-27,-0.38841607336902206,0.5,2,10,,,eba9bc58768df75e4e365ca3887d9d00a98a76af,baac2c7bf323a54b,VERIFIED,NON_REPRODUCIBLE,sd_diff delta_sd=+0.9090,-0.38841607336902206,1.4089801398336623,3,10,0,,"4,5",0.0,0.9089801398336623
London,SON,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.6874737375050658,0.8451217363586283,0,91,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,d99350bdd64fead4,VERIFIED,REPRODUCIBLE,within_tolerance,-0.6874737375050658,0.8451217363586283,0,91,0,,"9,10,11",0.0,0.0
Los Angeles,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-2.3932786530139154,0.5,0,2,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,a5ce6773ebc988fa,VERIFIED,COVERAGE_MISLABELED,"coverage_months=(12,) expected=(1, 2, 12)",-2.3932786530139154,0.5,0,2,0,,12,0.0,0.0
Los Angeles,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-2.0484069567768275,0.8421757788620144,14,43,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,e380e20e039cbb3a,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=+0.9857 paired_delta_mean=-0.9857,-1.0626891833393277,0.8079843803000404,16,43,1,-0.9857177734375,"3,4,5",0.9857177734374998,-0.03419139856197406
Lucknow,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-1.7549553725298495,1.4984347529032311,14,62,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,568f73bd1a96ebaf,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=+1.5705 paired_delta_mean=-1.5705,-0.184458869485269,1.448329302908689,15,62,1,-1.5704965030445805,"3,4,5",1.5704965030445805,-0.05010544999454214
Madrid,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,0.45186846863992136,1.4738369090736576,14,48,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,f9f9e4236c12fb4d,VERIFIED,REPRODUCIBLE,within_tolerance,0.45186846863992136,1.3979206893260663,15,48,0,,"3,4,5",0.0,-0.07591621974759133
Manila,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-1.630898602213013,0.801899246168032,13,23,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,ad6afe4c5380f0c7,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=-1.0871 paired_delta_mean=+1.0871,-2.717962410280184,0.7865981678529576,15,23,2,1.087063808067171,"4,5",-1.087063808067171,-0.015301078315074434
Mexico City,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.5068258460453003,1.8022702558691546,13,37,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,ed093bddf18e259f,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=+0.5377 paired_delta_mean=-0.5377,0.030901061123819136,1.6892079029208382,15,37,1,-0.5377269071691195,"3,4,5",0.5377269071691195,-0.11306235294831635
Miami,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.028074324988050126,1.4659626265277181,0,40,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,6d938eb904477fd1,VERIFIED,REPRODUCIBLE,within_tolerance,-0.028074324988050126,1.4659626265277181,0,40,0,,"1,2,12",0.0,0.0
